"Id";"DayType"
"Status20211224";"occupied"
"Status20211225";"occupied"
"Status20211226";"occupied"
"Status20211227";"occupied"
"Status20211228";"occupied"
"Status20211229";"occupied"
"Status20211230";"occupied"
"Status20211231";"occupied"
"Status2022101";"departure"
"Status2021717";"arrival"
"Status2021718";"occupied"
"Status2021719";"occupied"
"Status2021720";"occupied"
"Status2021721";"occupied"
"Status2021722";"occupied"
"Status2021723";"occupied"
"Status2021724";"occupied"
"Status2021725";"occupied"
"Status2021726";"occupied"
"Status2021727";"occupied"
"Status2021728";"occupied"
"Status2021729";"occupied"
"Status2021730";"occupied"
"Status2021731";"departure"
"Status2022129";"arrival"
"Status2022130";"occupied"
"Status2022131";"occupied"
"Status2022201";"occupied"
"Status2022202";"occupied"
"Status2022203";"occupied"
"Status2022204";"occupied"
"Status2021312";"occupied"
"Status2021313";"occupied"
"Status2021311";"arrival"
"Status2021314";"departure"
"Status2021619";"arrival"
"Status2021620";"occupied"
"Status2021621";"occupied"
"Status2021622";"occupied"
"Status2021623";"occupied"
"Status2021624";"occupied"
"Status2021625";"occupied"
"Status2021626";"occupied"
"Status2021627";"occupied"
"Status2021628";"occupied"
"Status2021629";"occupied"
"Status2021630";"occupied"
"Status2021701";"occupied"
"Status2021702";"occupied"
"Status2021703";"departure"
"Status2021605";"arrival"
"Status2021606";"occupied"
"Status2021607";"occupied"
"Status2021608";"occupied"
"Status2021609";"occupied"
"Status2021610";"occupied"
"Status2021611";"occupied"
"Status2021612";"departure"
"Status2021808";"arrival"
"Status2021809";"occupied"
"Status2021810";"occupied"
"Status2021811";"occupied"
"Status2021812";"occupied"
"Status2021813";"occupied"
"Status2021814";"occupied"
"Status2021815";"occupied"
"Status2021816";"occupied"
"Status2021817";"occupied"
"Status2021818";"occupied"
"Status2021819";"occupied"
"Status2021820";"occupied"
"Status2021821";"occupied"
"Status2021822";"arrivalDeparture"
"Status2021907";"occupied"
"Status2021908";"occupied"
"Status2021909";"occupied"
"Status2021910";"occupied"
"Status2021918";"arrival"
"Status2021919";"occupied"
"Status2021920";"occupied"
"Status2021921";"occupied"
"Status2021922";"occupied"
"Status2021923";"occupied"
"Status2021924";"occupied"
"Status2021925";"occupied"
"Status2021926";"occupied"
"Status2021927";"occupied"
"Status2021928";"occupied"
"Status2021929";"occupied"
"Status2021930";"occupied"
"Status20211001";"occupied"
"Status20211002";"departure"
"Status20211011";"notToOccupy"
"Status20211012";"notToOccupy"
"Status20211013";"notToOccupy"
"Status20211014";"notToOccupy"
"Status20211015";"notToOccupy"
"Status20211016";"notToOccupy"
"Status20211017";"notToOccupy"
"Status2021906";"occupied"
"Status2021911";"occupied"
"Status2022205";"occupied"
"Status2022206";"occupied"
"Status2022207";"occupied"
"Status2022208";"occupied"
"Status2022209";"occupied"
"Status2022210";"occupied"
"Status2022211";"occupied"
"Status2022212";"occupied"
"Status2022213";"occupied"
"Status2022214";"occupied"
"Status2022215";"occupied"
"Status2022216";"occupied"
"Status2022217";"occupied"
"Status2022218";"occupied"
"Status2022219";"departure"
"Status2022310";"arrival"
"Status2022311";"occupied"
"Status2022312";"occupied"
"Status2022313";"departure"
"Status20221224";"arrival"
"Status20221225";"occupied"
"Status20221226";"occupied"
"Status20221227";"occupied"
"Status20221228";"occupied"
"Status20221229";"occupied"
"Status20221230";"occupied"
"Status20221231";"occupied"
"Status2023101";"occupied"
"Status2023102";"occupied"
"Status2023103";"occupied"
"Status2023104";"occupied"
"Status2023105";"occupied"
"Status2023106";"occupied"
"Status2023107";"occupied"
"Status2022821";"occupied"
"Status2022822";"occupied"
"Status2022823";"occupied"
"Status2022824";"occupied"
"Status2022825";"occupied"
"Status2022826";"occupied"
"Status2022827";"occupied"
"Status2022828";"occupied"
"Status2022829";"occupied"
"Status2022830";"occupied"
"Status2022831";"occupied"
"Status2022901";"occupied"
"Status2022902";"occupied"
"Status2022820";"arrival"
"Status2022222";"arrival"
"Status2022223";"occupied"
"Status2022224";"occupied"
"Status2022225";"occupied"
"Status2022227";"occupied"
"Status2022228";"occupied"
"Status2022301";"occupied"
"Status2022302";"occupied"
"Status2022303";"occupied"
"Status2022304";"occupied"
"Status2022305";"departure"
"Status2022618";"arrival"
